SiteID,latitude,longitude
Ool_1,-34.65003211,145.2491074
Ool_4,-34.66363359,145.3465093
Ool_5,-34.66124873,145.2055504
Ool_6,-34.66592124,145.227155
Ool_7,-34.66237925,145.2670545
Ool_8,-34.67149244,145.3069094
Ool_10,-34.68840695,145.3539361
Ool_11,-34.6825533,145.2332726
Ool_13,-34.68271402,145.2712017
Ool_14,-34.68550019,145.2943027
Ool_15,-34.69667147,145.3393813
Ool_17,-34.69255057,145.2393885
Ool_18,-34.69965371,145.2788614
Ool_19,-34.69901893,145.2986586
Ool_20,-34.70194468,145.3192572
Ool_22,-34.7052822,145.2536353
Ool_23,-34.71412047,145.2446464
Ool_24,-34.7170009,145.3484305
Ool_25,-34.72028483,145.2713527
Ool_26,-34.72254199,145.2331261
Ool_27,-34.72401494,145.3224542
Ool_28,-34.72642231,145.200215
Ool_29,-34.73388597,145.2258465
Ool_30,-34.73625426,145.2664504
Ool_31,-34.73587509,145.2451799
Ool_32,-34.73669172,145.3446684
Ool_33,-34.73867907,145.2900449
Ool_34,-34.74054694,145.323775
Ool_36,-34.75356738,145.3413037
Ool_38,-34.75659607,145.194163
Ool_42,-34.78110711,145.1897696
Ool_44,-34.78528872,145.3274836
Ool_45,-34.79808622,145.2087677
Ool_48,-34.80229902,145.3315244
Ool_49,-34.80827847,145.2856754
